Date,Sticky_Price_CPI,Sticky_Price_CPI_Less_Shelter,Sticky_Price_CPI_Less_Food_Energy,Sticky_Price_CPI_Less_Food_Energy_Shelter,Trimmed_Mean_PCE_Inflation_Rate,16_Percent_Trimmed_Mean_CPI,Median_CPI,Flexible_Price_CPI,Flexible_Price_CPI_Less_Food_Energy
1977-09-01,6.831617962,6.681957314,6.883555545,6.733634064,,,,6.155656582,3.593772294
1977-10-01,6.906061865,6.592925172,6.96244877,6.612587327,,,,5.915284944,3.489265581
1977-11-01,6.981275897,6.401514202,7.010588577,6.311551295,,,,6.517083411,3.482610274
1977-12-01,7.290648214,6.431371291,7.387469073,6.39543458,,,,6.255349303,3.147067114
1978-01-01,7.334953188,6.480773428,7.395951567,6.39491549,5.7,,,5.98437431,2.760712414
1978-02-01,7.39375893,6.602138848,7.365140892,6.368925204,5.57,,,4.869083443,2.082244318
1978-03-01,7.502141729,6.537709341,7.457868288,6.23747747,5.55,,,5.217837469,2.381235323
1978-04-01,7.467883336,6.486597564,7.437211324,6.205476034,5.71,,,5.538440994,2.761202315
1978-05-01,7.678974185,6.470506933,7.667650906,6.167313212,5.9,,,6.44690487,3.342380601
1978-06-01,7.75513108,6.362915075,7.705467144,5.948776199,5.91,,,7.204323009,4.122509218
1978-07-01,7.982389911,6.475043261,7.939210957,6.048870498,5.99,,,7.468206329,4.657494835
1978-08-01,8.268525627,6.593974198,8.204046896,6.08792049,6.04,,,7.779656553,5.435818374
1978-09-01,8.654850473,6.733723324,8.605577994,6.207667914,6.22,,,8.15590031,5.992608495
1978-10-01,9.084288294,6.971119573,9.062421667,6.455269829,6.54,,,8.783700613,6.363728204
1978-11-01,9.25638291,7.166354647,9.237557806,6.659085855,6.65,,,8.560555964,6.454996229
1978-12-01,9.140540026,7.303148406,9.071115875,6.752059424,6.71,,,8.968781275,6.482263428
1979-01-01,9.188236485,7.462498919,9.083750922,6.865898492,7.03,,,9.577711301,5.980775037
1979-02-01,9.66144957,7.522394174,9.586034706,6.888659826,7.22,,,10.466253007,7.008569781
1979-03-01,9.785702702,7.686133508,9.689852424,7.01871064,7.25,,,11.049245038,7.408913941
1979-04-01,10.020315189,7.774378168,9.934098639,7.091645804,7.26,,,11.614304522,7.929559832
1979-05-01,10.198353336,7.917581179,10.09794116,7.196028954,7.35,,,12.062594291,8.043393901
1979-06-01,10.345613926,7.868920594,10.284819787,7.180150092,7.39,,,12.539386011,7.509288837
1979-07-01,10.548939046,7.942238476,10.521237318,7.288881447,7.5,,,13.421900957,6.791183056
1979-08-01,10.910837934,8.024645492,10.954395743,7.449389283,7.68,,,13.906914952,6.102272692
1979-09-01,10.934604841,7.933165055,11.002540622,7.38097686,7.8,,,14.509971408,5.520481727
1979-10-01,11.221219155,7.910066209,11.279514365,7.267222097,7.89,,,14.356585798,4.836009447
1979-11-01,11.825775912,8.186087436,11.951758189,7.60536033,7.89,,,14.293878606,4.472151332
1979-12-01,12.567326283,8.411508764,12.761858458,7.850343855,8.04,,,14.822162221,4.718128269
1980-01-01,13.230540638,8.684008023,13.499249243,8.182370523,8.15,,,15.926839278,5.918886324
1980-02-01,13.292790737,8.984094453,13.627778119,8.670686566,8.35,,,16.1553841,5.950380841
1980-03-01,13.928697743,9.382151922,14.361385885,9.211129464,8.6,,,16.668805744,5.726559829
1980-04-01,14.289352928,9.707858254,14.786779517,9.662178252,8.56,,,15.501350204,5.22334496
1980-05-01,14.566256436,9.887947016,15.147255922,9.990085518,8.56,,,14.422912876,4.819895091
1980-06-01,15.171267605,10.055206727,15.810582065,10.178065306,8.72,,,13.154171551,4.660966469
1980-07-01,13.680706947,10.005119868,14.178529783,10.180298713,8.6,,,12.606916877,5.201073132
1980-08-01,12.907388688,10.02503424,13.314194421,10.201941687,8.57,,,12.902751848,6.207416507
1980-09-01,12.777192261,10.458517169,13.136608244,10.672289417,8.67,,,12.758693567,7.669061444
1980-10-01,12.735037452,10.333745181,13.133051948,10.611917619,8.57,,,12.725621186,8.53515672
1980-11-01,12.548205291,10.064301177,12.91869716,10.268034339,8.64,,,13.082805041,9.662888895
1980-12-01,12.386180396,9.943360668,12.732242952,10.107175404,8.64,,,12.672533569,9.718516972
1981-01-01,11.78489619,9.976176952,12.062863603,10.147539277,8.59,,,11.83765844,9.167953407
1981-02-01,11.141280927,9.957698473,11.274926046,9.971302114,8.6,,,12.231236026,8.767039548
1981-03-01,10.271792595,9.535026802,10.363727852,9.565177747,8.41,,,11.39045323,8.319454489
1981-04-01,9.7137981,9.314715719,9.752589153,9.310392363,8.5,,,10.995590878,8.670358756
1981-05-01,9.599426636,9.113795825,9.645887355,9.106429721,8.32,,,10.57714359,9.621174558
1981-06-01,9.211951122,9.147199988,9.250210999,9.221261209,8.07,,,10.607542626,10.374102934
1981-07-01,11.042836155,9.608015687,11.274384726,9.776087721,8.1,,,10.472867315,10.682081028
1981-08-01,11.542327368,9.566368162,11.853018154,9.776022324,8.01,,,9.849448124,10.499261314
1981-09-01,11.8782354,9.402674637,12.262533118,9.654623341,7.82,,,9.453761286,9.987397005
1981-10-01,10.978900338,9.551220214,11.298313544,9.91149435,7.62,,,9.050052537,9.99648206
1981-11-01,10.268981242,9.570259926,10.554645194,10.030177476,7.41,,,8.475648334,9.150688128
1981-12-01,9.596625848,9.277665222,9.884984782,9.834140693,7.14,,,7.884585192,8.951027512
1982-01-01,9.207849099,9.014213278,9.499196473,9.605514896,6.83,,,6.864392735,8.513364409
1982-02-01,9.179667663,8.637741512,9.56769049,9.351880215,6.38,,,5.114869416,8.246999741
1982-03-01,8.604432242,8.533902671,8.920648287,9.203785229,6.2,,,3.862076115,8.514193506
1982-04-01,8.746658257,8.326552414,9.112202163,9.02106135,5.86,,,3.044280911,8.193200638
1982-05-01,8.708529828,8.160895579,9.08479885,8.85226276,5.77,,,3.646530396,7.419487056
1982-06-01,8.546520273,8.075106594,8.909836827,8.759118078,5.74,,,4.932929766,7.210874424
1982-07-01,7.644790456,7.613665109,7.912560428,8.193356905,5.76,,,4.693034917,6.731669893
1982-08-01,7.128501169,7.30629299,7.351467333,7.837267062,5.49,,,4.001304221,6.094070812
1982-09-01,5.89963486,6.948960649,6.003409335,7.420230491,5.13,,,3.488050086,5.48320743
1982-10-01,5.885856684,6.80774586,6.000904404,7.272468848,5.06,,,3.572123246,5.062706302
1982-11-01,5.264694869,6.308935946,5.327823771,6.687889978,4.78,,,3.328742668,5.122891151
1982-12-01,4.566914209,6.204560516,4.518985485,6.52355255,4.61,,,2.934812034,5.297716926
1983-01-01,4.709928196,6.02760215,4.695598354,6.332145585,4.63,,,2.595638598,5.821918631
1983-02-01,4.643182687,5.856958475,4.62783567,6.13103849,4.57,,,2.113067641,6.069071221
1983-03-01,4.860477795,5.597915412,4.855813143,5.802636284,4.33,,,2.272271393,5.725610197
1983-04-01,4.517442503,5.420488232,4.456933531,5.540238441,4.47,,,3.896205138,5.462755416
1983-05-01,3.67413272,5.076345684,3.549623729,5.166317432,4.24,,,3.880831398,5.240924006
1983-06-01,3.004230742,4.677174474,2.843739681,4.741649915,4.06,,,2.485868346,5.026427958
1983-07-01,2.763699957,4.348790552,2.630755198,4.43769068,3.79,,,2.488194883,5.602324453
1983-08-01,2.685071021,4.30451207,2.553400975,4.40518931,3.7,,,2.989379994,6.357979375
1983-09-01,3.047851854,4.139546098,2.944004571,4.188506227,3.79,,,3.099609757,6.65346247
1983-10-01,3.200312426,4.095131253,3.09331236,4.093883086,3.56,,,2.831433577,6.657316544
1983-11-01,3.779038194,4.327592274,3.751793567,4.405853617,3.68,,,2.732271965,6.878965633
